==1514234== Lackey, an example Valgrind tool
==1514234== Copyright (C) 2002-2017, and GNU GPL'd, by Nicholas Nethercote.
==1514234== Using Valgrind-3.19.0 and LibVEX; rerun with -h for copyright info
==1514234== Command: ls 
==1514234== 
I  0401a8e0,3
I  0401a8e3,5
 S 1fff0003e8,8
I  0401b4e0,1
 S 1fff0003e0,8
I  0401b4e1,7
I  0401b4e8,7
I  0401b4ef,5
I  0401b4f4,5
I  0401b4f9,4
I  0401b4fd,3
I  0401b500,2
 S 1fff0003d8,8
I  0401b502,2
 S 1fff0003d0,8
I  0401b504,2
 S 1fff0003c8,8
I  0401b506,2
 S 1fff0003c0,8
I  0401b508,1
 S 1fff0003b8,8
I  0401b509,7
I  0401b510,7
 S 1fff000358,8
I  0401b517,4
 S 1fff000360,16
I  0401b51b,2
I  0401b51d,7
 M 04032e06,1
I  0401b524,4
I  0401b528,7
 S 04032ad0,8
I  0401b52f,3
I  0401b532,7
I  0401b539,7
 S 04031a60,8
I  0401b540,7
 L 04031e20,8
I  0401b547,7
 S 04032ae0,8
I  0401b54e,3
I  0401b551,6
I  0401b557,7
I  0401b55e,6
I  0401b564,6
I  0401b56a,6
I  0401b570,6
I  0401b576,2
I  0401b59a,4
I  0401b59e,2
I  0401b589,4
 S 04032b80,8
I  0401b58d,4
 L 04031e30,8
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b59a,4
I  0401b59e,2
I  0401b589,4
 S 04032b30,8
I  0401b58d,4
 L 04031e40,8
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b59a,4
I  0401b59e,2
I  0401b5a0,3
I  0401b5a3,3
I  0401b5a6,4
I  0401b5aa,2
I  0401b5ac,3
I  0401b5af,3
I  0401b5b2,3
I  0401b5b5,3
I  0401b5b8,2
I  0401b5c8,3
I  0401b5cb,3
I  0401b5ce,4
I  0401b5d2,6
I  0401b9a0,5
I  0401b9a5,3
I  0401b9a8,4
I  0401b9ac,6
I  0401b9b2,5
I  0401b9b7,3
I  0401b9ba,3
I  0401b9bd,5
I  0401b589,4
 S 04032d88,8
I  0401b58d,4
 L 04031e50,8
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b59a,4
I  0401b59e,2
I  0401b589,4
 S 04032b38,8
I  0401b58d,4
 L 04031e60,8
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b59a,4
I  0401b59e,2
I  0401b589,4
 S 04032b40,8
I  0401b58d,4
 L 04031e70,8
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b59a,4
I  0401b59e,2
I  0401b589,4
 S 04032b60,8
I  0401b58d,4
 L 04031e80,8
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b59a,4
I  0401b59e,2
I  0401b589,4
 S 04032b68,8
I  0401b58d,4
 L 04031e90,8
